Recurso ID,nombre,submercado,capacidad_efectiva,factor_conversion,es_menor,tipo_despacho,tipo_generacion,inicio_operacion,estado,nombre_agente,combustible,clasificacion
Grp0043,RIOGRANDE I,RGRN,19,0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,1956-01-01 00:00:00,OPERACION,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,AGUA,NORMAL
Grp0044,SONSON,SNS1,"18,5",0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,2002-01-06 00:00:00,OPERACION,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,AGUA,NORMAL
Grp0045,PIEDRAS BLANCAS,PBL1,5,0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,1900-01-01 00:00:00,INACTIVO,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,AGUA,NORMAL
Grp0047,SALVAJINA,SLVJ,315,"0,8483",NO,DESPACHADO CENTRALMENTE,HIDRAULICA,7/20/1995 12:00:00 AM,OPERACION,CELSIA COLOMBIA S.A. E.S.P.,AGUA,NORMAL
Grp0048,SAN CARLOS,SNCR,1240,53375,NO,DESPACHADO CENTRALMENTE,HIDRAULICA,1/20/1984 12:00:00 AM,OPERACION,ISAGEN S.A. E.S.P.,AGUA,NORMAL
Grp0049,SAN FRANCISCO,SNFR,135,15386,NO,DESPACHADO CENTRALMENTE,HIDRAULICA,1969-01-01 00:00:00,OPERACION,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,AGUA,FILO DE AGUA
Grp0050,SAN JOSE DE LA MONTAÑA,SJM1,"0,4",0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,7/30/2007 12:00:00 AM,OPERACION,EMPRESA DE GENERACION Y PROMOCION DE ENERGIA DE ANTIOQUIA S.A. E.S.P.,AGUA,NORMAL
Grp0051,AMALFI,AMF1,"0,81",0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,2007-05-08 00:00:00,OPERACION,HZ ENERGY S.A.S. E.S.P.,AGUA,NORMAL
Grp0052,PUENTE GUILLERMO,PTG1,"4,2",0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,2001-01-09 00:00:00,OPERACION,ENERCO S.A. E.S.P.,AGUA,NORMAL
Grp0053,RIOFRIO (TAMESIS),TMS1,1,0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,1951-01-01 00:00:00,OPERACION,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,AGUA,NORMAL
Grp0055,SUEVA 2,SUV1,6,0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,5/24/2002 12:00:00 AM,OPERACION,CEMEX ENERGY S.A.S E.S.P.,AGUA,NORMAL
Grp0056,CHARQUITO,CQT1,"19,4",0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,8/22/2003 12:00:00 AM,OPERACION,EMGESA S.A. E.S.P.,AGUA,NORMAL
Grp0057,EL LIMONAR,LMR1,18,0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,2003-06-12 00:00:00,OPERACION,EMGESA S.A. E.S.P.,AGUA,NORMAL
Grp0058,LA TINTA,TIN1,"19,4",0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,2003-06-12 00:00:00,INACTIVO,EMGESA S.A. E.S.P.,AGUA,VACÍO
Grp0059,LA JUNCA,JNC1,"19,4",0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,2005-01-01 00:00:00,INACTIVO,EMGESA S.A. E.S.P.,AGUA,VACÍO
Grp0060,TEQUENDAMA,TQD1,"19,4",0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,2004-10-04 00:00:00,INACTIVO,EMGESA S.A. E.S.P.,AGUA,NORMAL
Grp0061,GUACAICA,GCC1,"0,86",0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,1992-01-01 00:00:00,OPERACION,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,AGUA,NORMAL
Grp0062,INTERMEDIA,INT1,"0,96",0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,1974-01-01 00:00:00,OPERACION,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,AGUA,NORMAL
Grp0063,MONDOMO,MND1,"0,75",0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,1958-01-01 00:00:00,OPERACION,VATIA S.A. E.S.P.,AGUA,NORMAL
Grp0064,SAN CANCIO,SNC1,2,0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,1929-01-01 00:00:00,OPERACION,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,AGUA,NORMAL
Grp0065,BELMONTE,BLM1,"3,4",0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,1939-01-01 00:00:00,OPERACION,EMPRESA DE ENERGIA DE PEREIRA S.A. E.S.P.,AGUA,NORMAL
Grp0066,NIQUIA,NQU1,19,0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,6/28/1993 12:00:00 AM,OPERACION,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,AGUA,NORMAL
Grp0067,BAYONA,BYN1,"0,6",0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,1943-01-01 00:00:00,OPERACION,EMPRESA MULTIPROPOSITO DE CALARCA S.A. E.S.P.,AGUA,NORMAL
Grp0068,CAMPESTRE (CALARCA),CPT1,"0,7",0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,1956-01-01 00:00:00,OPERACION,EMPRESA MULTIPROPOSITO DE CALARCA S.A. E.S.P.,AGUA,NORMAL
Grp0069,UNION,UNN1,"0,7",0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,1935-01-01 00:00:00,OPERACION,EMPRESA MULTIPROPOSITO DE CALARCA S.A. E.S.P.,AGUA,NORMAL
Grp0070,ASNAZU,ASN1,"0,45",0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,1934-01-01 00:00:00,OPERACION,VATIA S.A. E.S.P.,AGUA,NORMAL
Grp0071,INZA,INZ1,"0,75",0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,2009-05-02 00:00:00,OPERACION,VATIA S.A. E.S.P.,AGUA,NORMAL
Grp0072,MIROLINDO,MIR1,"3,75",0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,2004-03-11 00:00:00,OPERACION,VATIA S.A. E.S.P.,AGUA,NORMAL
Grp0073,NUTIBARA,NTB1,"0,75",0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,1997-01-01 00:00:00,OPERACION,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,AGUA,NORMAL
